group,key,n,CAS@0.05,CAS@0.10,CAS@0.20,mean_L2,pose_L2,xyz_L2,rot_L2,gripper_abs
artifact_position,bottom,5000,0.564,0.258,0.0732,0.0871915587607464,0.07858898664172972,0.0765621823392371,0.013313838231613926,0.014270680439472199
artifact_position,center,5000,0.7106,0.3924,0.1278,0.11487385390002214,0.10463984905012233,0.10174873060663019,0.01737634733743238,0.017067719173431396
artifact_position,left,5000,0.5482,0.2356,0.0726,0.0857813323735605,0.07432834123492287,0.07217018321762438,0.013014724778944275,0.017288930201530456
artifact_position,rand_a,5000,0.5914,0.2852,0.093,0.0962337372600087,0.08549071177068292,0.08314348774970183,0.014456451725298297,0.016760160541534425
artifact_position,rand_b,5000,0.5916,0.28,0.0888,0.09578402198572802,0.084529894819563,0.08229129488794298,0.014278946462589382,0.017414804458618163
artifact_position,right,5000,0.562,0.263,0.0818,0.09078515308795863,0.07963930941851576,0.07740161488401971,0.01373826081454259,0.017072686195373533
artifact_position,top,5000,0.577,0.2614,0.0724,0.08700696228839541,0.07762163693278151,0.07542297751331581,0.01362895100265412,0.014786345672607422
attack_family,F1_sensor_artifact,4200,0.6547619047619048,0.3238095238095238,0.10214285714285715,0.10308021424980048,0.09277454575037286,0.09042499379967202,0.015308046208819114,0.016750320735431853
attack_family,F2_geometric_symbol,18200,0.5177472527472528,0.20532967032967034,0.05247252747252747,0.07762594847059068,0.06838801562869627,0.06638443926912646,0.01215637367228108,0.014481181259993668
attack_family,F3_machine_marker,4200,0.7704761904761904,0.43642857142857144,0.14095238095238094,0.1248588131794316,0.1094702589344739,0.10652381125963148,0.01821714737425383,0.02302451532511484
attack_family,F4_visual_text_injection,8400,0.6327380952380952,0.35095238095238096,0.12761904761904763,0.10930320487078381,0.09882185538368646,0.09622864048157037,0.0163078318905896,0.016987478931744893
attack_form,arrow_down,1400,0.47,0.16857142857142857,0.035,0.06919652092692741,0.06124544476918373,0.05931513983197352,0.011438577598550704,0.012924769265311106
attack_form,arrow_left,1400,0.42928571428571427,0.14857142857142858,0.03857142857142857,0.06711068282708632,0.057399221885498404,0.05549047937020076,0.01087497262566222,0.014710332325526647
attack_form,arrow_right,1400,0.4357142857142857,0.1457142857142857,0.03571428571428571,0.06471552407084223,0.057851555275105,0.05622562524478859,0.01029829628938639,0.011374062129429409
attack_form,arrow_target,1400,0.4764285714285714,0.16857142857142857,0.045,0.07215568070705283,0.061485106615888116,0.05964803095536101,0.011386558630592255,0.01571124758039202
attack_form,arrow_up,1400,0.44857142857142857,0.15285714285714286,0.039285714285714285,0.06810823473625717,0.06022970465356492,0.05832777974855638,0.011251117314368184,0.012886741842542376
attack_form,barcode,1400,0.8014285714285714,0.4614285714285714,0.1657142857142857,0.1309477555200179,0.11540589955462731,0.11259455926552375,0.018272117886766033,0.023091908863612582
attack_form,fiducial_marker,1400,0.765,0.4471428571428571,0.13785714285714284,0.1270262320795877,0.10804902540342073,0.10508023854040614,0.018293309406139102,0.027163285613059997
attack_form,long_arrow_down,1400,0.5307142857142857,0.21642857142857144,0.05714285714285714,0.07857130599405097,0.07065432880722382,0.06835664081932634,0.013069478990411013,0.012732553482055663
attack_form,long_arrow_left,1400,0.4228571428571429,0.13214285714285715,0.02857142857142857,0.06345239882745596,0.0549528394614203,0.0532930525291594,0.010058778001645764,0.013014618669237409
attack_form,long_arrow_right,1400,0.4235714285714286,0.14285714285714285,0.035,0.06449662485509802,0.05669155390750433,0.055150728853024904,0.009819775603719503,0.012226846558707101
attack_form,long_arrow_up,1400,0.5085714285714286,0.21071428571428572,0.05142857142857143,0.07629865576597454,0.06945032566402355,0.06728433583899165,0.01255873522545234,0.011816014562334333
attack_form,no_entry,1400,0.7371428571428571,0.4,0.12214285714285714,0.11566814051121552,0.10164157011144487,0.09927621064670736,0.016072650552273148,0.021197943687438964
attack_form,qr_like,1400,0.745,0.4007142857142857,0.11928571428571429,0.11660245193868857,0.10495585184537437,0.10189663597296504,0.01808601482985638,0.01881835149867194
attack_form,solid_patch,1400,0.5478571428571428,0.23785714285714285,0.06285714285714286,0.08410906014016213,0.0737060242442085,0.07170978392662868,0.012617930807488631,0.015939805848257882
