group,key,n,CAS@0.05,CAS@0.10,CAS@0.20,mean_L2,pose_L2,xyz_L2,rot_L2,gripper_abs
artifact_position,bottom,5000,0.8114,0.4922,0.2072,0.1943587598001154,0.14155727491634312,0.13571765120524298,0.027553490460507184,0.0635824052902209
artifact_position,center,5000,0.867,0.5714,0.2524,0.18828992468930145,0.15674173271645342,0.1502183733099793,0.03080612235214312,0.03857311133913493
artifact_position,left,5000,0.8156,0.5006,0.2086,0.1701286040062588,0.13922372884086218,0.13345659643422939,0.027762929350702036,0.03798761954264374
artifact_position,rand_a,5000,0.8334,0.5262,0.2216,0.18832188884853032,0.1461246868529505,0.14040008057938688,0.028167192340577032,0.050059298894442716
artifact_position,rand_b,5000,0.827,0.5124,0.222,0.18628715109499502,0.14683745436317855,0.14100759365827975,0.028558597292619812,0.048485184494183396
artifact_position,right,5000,0.8076,0.4954,0.1998,0.17590037046933704,0.13759837307601502,0.13181756686268237,0.027198186021687047,0.04577109651994952
artifact_position,top,5000,0.8114,0.4936,0.2082,0.16613892201148267,0.13669783377822028,0.13125399264874846,0.026559635815560263,0.034738767459860626
attack_family,F1_sensor_artifact,4200,0.8521428571428571,0.5378571428571428,0.22380952380952382,0.17388883640967934,0.14592453543146786,0.13946059369926875,0.030440968617566313,0.03404751217351849
attack_family,F2_geometric_symbol,18200,0.7762087912087912,0.42703296703296706,0.1489010989010989,0.14850166170690612,0.11832310790156061,0.11340515706215538,0.023822503098981124,0.035999178648277494
attack_family,F3_machine_marker,4200,0.8597619047619047,0.5521428571428572,0.22166666666666668,0.1759852746158754,0.14691371278404577,0.14074858995022052,0.029789053667962015,0.03535735102334744
attack_family,F4_visual_text_injection,8400,0.8988095238095238,0.6677380952380952,0.35928571428571426,0.2589198327651279,0.19529812100077978,0.18791748138495948,0.035297037877179374,0.07729785010436789
attack_form,arrow_down,1400,0.7721428571428571,0.4278571428571429,0.15,0.14916999865028235,0.118491442731475,0.11385239420105465,0.02335613218080229,0.036608683977844336
