group,key,n,CAS@0.05,CAS@0.10,CAS@0.20,mean_L2,pose_L2,xyz_L2,rot_L2,gripper_abs
artifact_position,bottom,5000,0.9992,0.9586,0.658,0.3983900355325987,0.27723016964541003,0.24805943023004023,0.1014036401267715,0.15069173033746416
artifact_position,center,5000,0.9986,0.96,0.6616,0.396610179795593,0.27709826737957355,0.2470016053222886,0.10424485669693477,0.1478475730558703
artifact_position,left,5000,0.9988,0.9506,0.627,0.37724869419427515,0.26745424586633026,0.23825137777982577,0.10048524832187186,0.13660704133096221
artifact_position,rand_a,5000,0.9988,0.9534,0.6516,0.3963068605455346,0.27353907961490204,0.24481188509373533,0.10078179766709194,0.15198082616751402
artifact_position,rand_b,5000,0.9978,0.9512,0.6558,0.3933096464382725,0.27464674376143877,0.24601807585794708,0.10115248787877269,0.1477237974683839
artifact_position,right,5000,0.9988,0.9472,0.628,0.37384779546294616,0.2661348304524141,0.23757019969085294,0.09932377954322405,0.13347380279732715
artifact_position,top,5000,0.998,0.9492,0.6294,0.3763192960908552,0.26549474667696593,0.23719768832904242,0.09866748146847448,0.13684828632570334
attack_family,F1_sensor_artifact,4200,0.9990476190476191,0.96,0.6745238095238095,0.3996366861360799,0.2850633188087715,0.25588744238298056,0.10334446429518719,0.1438691987105887
attack_family,F2_geometric_symbol,18200,0.9982417582417582,0.9458241758241758,0.619065934065934,0.3720853956510916,0.26447206447031474,0.23643914365053612,0.09817430688144037,0.13312490496035218
attack_family,F3_machine_marker,4200,0.9992857142857143,0.9545238095238096,0.6602380952380953,0.3875334882772381,0.2778776221254555,0.24958700525124636,0.1007477320661596,0.13720005179205036
attack_family,F4_visual_text_injection,8400,0.9986904761904762,0.9638095238095238,0.6766666666666666,0.41453495320411116,0.27741034425019706,0.2462340734541848,0.1055162914947413,0.16934537678888487
attack_form,arrow_down,1400,0.9985714285714286,0.9364285714285714,0.5842857142857143,0.3507966680865525,0.2534265683905105,0.2263104983481412,0.09458754766321154,0.12101466236540367
